customer_state,orders,revenue,average_rating,negative_rate,late_rate,average_delivery_days
AC,80,19575.33,4.0875,15.0,3.75,21.035712962962965
AL,397,94475.18,3.841708542713568,21.35678391959799,23.940149625935163,24.53605263461716
AM,145,27668.61,4.220689655172414,13.793103448275861,4.10958904109589,26.383430682394724
AP,67,16141.81,4.242424242424242,6.0606060606060606,4.477611940298507,27.185067716970703
BA,3256,593408.37,3.9294516327788047,17.005545286506468,14.084937366330582,19.356057381663668
CE,1279,267267.58,3.938087774294671,17.319749216300938,15.366614664586583,21.26804037022592
DF,2080,348601.41,4.131641933939684,13.212063188128292,7.098618389709385,12.996125309891834
ES,1995,318466.51,4.082406471183013,13.751263902932253,12.225548902195609,15.79811149691358
GO,1957,337665.51,4.102903718797759,13.245033112582782,8.206686930091186,15.604079321691245
MA,717,148141.69,3.839385474860335,19.832402234636874,19.55617198335645,21.52197011288334
MG,11354,1826486.53,4.192707415888673,11.74916329047032,5.602731331524118,12.011947980601192
MS,701,136005.96,4.169014084507042,13.098591549295774,11.51685393258427,15.629537654754474
MT,886,181579.03,4.147392290249433,12.698412698412698,6.749156355455568,18.04942979783777
PA,946,212658.82,3.9126730564430243,17.99787007454739,12.289915966386554,23.776524689737006
PB,517,137953.28,4.077972709551657,14.814814814814813,11.003861003861005,20.403992563992563
PE,1593,310257.5,4.0855345911949685,14.716981132075471,10.723192019950124,18.418384168340722
PI,476,105259.41,3.9957627118644066,16.101694915254235,15.932914046121594,19.452761302313846
PR,4923,785095.06,4.238259808904249,10.916853018906282,5.0182112505058685,12.000591158362937
RJ,12350,2063593.64,3.9634394593274163,18.36169693021741,13.478260869565217,15.318877192737222
RN,474,100833.26,4.150105708245243,12.896405919661733,10.714285714285714,19.263879235722065
RO,243,56966.0,4.1652892561983474,11.983471074380166,2.880658436213992,19.37203651310776
RR,41,9039.52,3.902439024390244,14.634146341463413,12.195121951219512,29.387546014001806
RS,5344,865683.26,4.185344023867239,11.914972962893902,7.173387846125255,15.319540059072732
SC,3546,597067.83,4.131050099065949,13.048400792527598,9.775280898876403,14.975162014279027
SE,335,70289.13,3.907185628742515,18.862275449101794,15.223880597014924,21.519788280818133
SP,40493,5797905.05,4.246145864215832,10.682873801759067,5.876572327044025,8.76378328968033
TO,274,60007.37,4.153846153846154,12.087912087912088,12.773722627737227,17.65806260982698
